id	age	agedays	gs1sec001	gs1moc002	gs1sec003	gs1lgc004	gs1moc005	gs1cgc006	gs1moc007	gs1moc008	gs1sec009	gs1lgc010	gs1sec011	gs1lgc012	gs1sec013	gs1lgc014	gs1moc015	gs1lgc016	gs1sec017	gs1moc018	gs1sec019	gs1lgc020	gs1sec021	gs1sec022	gs1lgc023	gs1sec024	gs1moc025	gs1lgc026	gs1sec027	gs1moc029	gs1moc030	gs1moc031	gs1cgc032	gs1moc033	gs1moc034	gs1moc035	gs1lic036	gs1lgc037	gs1moc038	gs1moc039	gs1moc040	gs1moc041	gs1cgc042	gs1moc043	gs1moc044	gs1moc045	gs1cgc046	gs1moc047	gs1moc048	gs1lgc049	gs1moc050	gs1moc051	gs1moc052	gs1lic053	gs1moc054	gs1moc055	gs1moc056	gs1moc057	gs1lgc058	gs1moc059	gs1moc060	gs1moc061	gs1lgc062	gs1sec063	gs1moc064	gs1lic065	gs1moc066	gs1lic067	gs1moc068	gs1moc069	gs1moc070	gs1lgc071	gs1lgc072	gs1sec073	gs1moc074	gs1moc075	gs1moc076	gs1lic077	gs1moc078	gs1moc079	gs1moc080	gs1moc081	gs1sec082	gs1moc083	gs1lgc084	gs1cgc085	gs1lgc086	gs1lgc087	gs1lgc088	gs1moc089	gs1lic090	gs1moc091	gs1lic092	gs1sec093	gs1lgc094	gs1moc095	gs1moc096	gs1lgc097	gs1lgc098	gs1lgc099	gs1lgc100	gs1moc101	gs1sec102	gs1lic103	gs1lgc104	gs1lgc105	gs1lic106	gs1lgc107	gs1moc108	gs1lgc109	gs1lgc110	gs1sec111	gs1lgc112	gs1lgc113	gs1cgc114	gs1lgc115	gs1lic116	gs1lgc117	gs1lic118	gs1lgc119	gs1moc120	gs1lgc121	gs1cgc122	gs1lgc123	gs1sec124	gs1lgc125	gs1moc126	gs1cgc127	gs1cgc128	gs1lgc129	gs1lgc130	gs1sec131	gs1cgc132	gs1cgc133	gs1moc134	gs1sec135	gs1lgc136	gs1moc137	gs1lic138	gs1sec139	gl1gmd001	gl1gmd002	gl1gmd003	gl1gmd004	gl1gmd005	gl1gmd006	gl1gmd007	gl1gmd008	gl1gmd009	gl1gmd010	gl1gmd011	gl1gmd012	gl1gmd013	gl1gmd014	gl1gmd015	gl1gmd016	gl1gmd017	gl1gmd018	gl1gmd019	gl1gmd020	gl1gmd021	gl1gmd022	gl1gmd023	gl1gmd024	gl1gmd025	gl1gmd026	gl1gmd027	gl1gmd028	gl1gmd029	gl1gmd030	gl1gmd031	gl1gmd032	gl1gmd033	gl1gmd034	gl1gmd035	gl1gmd036	gl1gmd037	gl1gmd038	gl1gmd039	gl1gmd040	gl1gmd041	gl1gmd042	gl1gmd043	gl1gmd044	gl1gmd045	gl1gmd046	gl1gmd047	gl1gmd048	gl1gmd049	gl1lgd001	gl1lgd002	gl1lgd003	gl1lgd004	gl1lgd005	gl1lgd006	gl1lgd007	gl1lgd008	gl1lgd009	gl1lgd010	gl1lgd011	gl1lgd012	gl1lgd013	gl1lgd014	gl1lgd015	gl1lgd016	gl1lgd017	gl1lgd018	gl1lgd019	gl1lgd020	gl1lgd021	gl1lgd022	gl1lgd023	gl1lgd024	gl1lgd025	gl1lgd026	gl1lgd027	gl1lgd028	gl1lgd029	gl1lgd030	gl1lgd031	gl1lgd032	gl1lgd033	gl1lgd034	gl1lgd035	gl1lgd036	gl1lgd037	gl1lgd038	gl1lgd039	gl1lgd040	gl1lgd041	gl1lgd042	gl1lgd043	gl1lgd044	gl1lgd045	gl1lgd046	gl1lgd047	gl1lgd048	gl1lgd049	gl1lgd050	gl1lgd051	gl1lgd052	gl1fmd001	gl1fmd002	gl1fmd003	gl1fmd004	gl1fmd005	gl1fmd006	gl1fmd007	gl1fmd008	gl1fmd009	gl1fmd010	gl1fmd011	gl1fmd012	gl1fmd013	gl1fmd014	gl1fmd015	gl1fmd016	gl1fmd017	gl1fmd018	gl1fmd019	gl1fmd020	gl1fmd021	gl1fmd022	gl1fmd023	gl1fmd024	gl1fmd025	gl1fmd026	gl1fmd027	gl1fmd028	gl1fmd029	gl1fmd030	gl1fmd031	gl1fmd032	gl1fmd033	gl1fmd034	gl1fmd035	gl1fmd036	gl1fmd037	gl1fmd038	gl1fmd039	gl1fmd040	gl1fmd041	gl1fmd042	gl1fmd043	gl1fmd044	gl1fmd045	gl1fmd046	gl1fmd047	gl1fmd048	gl1fmd049	gl1fmd050	gl1fmd051	gl1fmd052	gl1fmd053	gl1fmd054	by3cgd003	by3cgd004	by3cgd005	by3cgd006	by3cgd007	by3cgd008	by3cgd009	by3cgd010	by3cgd011	by3cgd012	by3cgd013	by3cgd014	by3cgd015	by3cgd016	by3cgd017	by3cgd018	by3cgd019	by3cgd020	by3cgd021	by3cgd022	by3cgd023	by3cgd024	by3cgd025	by3cgd026	by3cgd027	by3cgd028	by3cgd029	by3cgd030	by3cgd031	by3cgd032	by3cgd033	by3cgd034	by3cgd035	by3cgd036	by3cgd037	by3cgd038	by3cgd039	by3cgd040	by3cgd041	by3cgd042	by3cgd043	by3cgd044	by3cgd045	by3cgd046	by3cgd047	by3cgd048	by3cgd049	by3cgd050	by3cgd051	by3cgd052	by3cgd053	by3cgd054	by3cgd055	by3cgd056	by3cgd057	by3cgd058	by3cgd059	by3cgd060	by3cgd061	by3cgd062	by3cgd063	by3cgd064	by3cgd065	by3cgd066	by3cgd067	by3cgd068	by3cgd069	by3cgd070	by3cgd071	by3cgd072	by3cgd073	by3cgd074	by3cgd075	by3cgd076	by3cgd077	by3exd001	by3exd002	by3exd003	by3exd004	by3exd005	by3exd006	by3exd007	by3exd008	by3exd009	by3exd010	by3exd011	by3exd012	by3exd013	by3exd014	by3exd015	by3exd016	by3exd017	by3exd018	by3exd019	by3exd020	by3exd021	by3exd022	by3exd023	by3exd024	by3exd025	by3exd026	by3exd027	by3exd028	by3exd029	by3exd030	by3exd031	by3exd032	by3exd033	by3exd034	by3exd035	by3exd036	by3exd037	by3exd043	by3fmd002	by3fmd003	by3fmd004	by3fmd005	by3fmd006	by3fmd007	by3fmd008	by3fmd009	by3fmd010	by3fmd011	by3fmd012	by3fmd013	by3fmd014	by3fmd015	by3fmd016	by3fmd017	by3fmd018	by3fmd019	by3fmd020	by3fmd021	by3fmd022	by3fmd023	by3fmd024	by3fmd025	by3fmd026	by3fmd027	by3fmd028	by3fmd029	by3fmd030	by3fmd031	by3fmd032	by3fmd033	by3fmd034	by3fmd035	by3fmd036	by3fmd037	by3fmd038	by3fmd039	by3fmd040	by3fmd041	by3fmd042	by3fmd043	by3fmd044	by3fmd045	by3fmd046	by3fmd047	by3fmd048	by3fmd049	by3fmd050	by3fmd052	by3fmd054	by3gmd003	by3gmd004	by3gmd005	by3gmd006	by3gmd007	by3gmd008	by3gmd009	by3gmd010	by3gmd011	by3gmd012	by3gmd013	by3gmd014	by3gmd015	by3gmd016	by3gmd017	by3gmd018	by3gmd019	by3gmd020	by3gmd021	by3gmd022	by3gmd023	by3gmd024	by3gmd025	by3gmd026	by3gmd027	by3gmd028	by3gmd029	by3gmd030	by3gmd031	by3gmd032	by3gmd033	by3gmd034	by3gmd035	by3gmd036	by3gmd037	by3gmd038	by3gmd039	by3gmd040	by3gmd041	by3gmd042	by3gmd043	by3gmd044	by3gmd045	by3gmd046	by3gmd047	by3gmd048	by3gmd049	by3gmd050	by3gmd051	by3gmd052	by3gmd053	by3gmd054	by3gmd055	by3gmd056	by3gmd057	by3gmd058	by3gmd059	by3gmd060	by3gmd061	by3gmd062	by3gmd063	by3gmd064	by3gmd065	by3gmd066	by3gmd067	by3red002	by3red004	by3red005	by3red006	by3red007	by3red008	by3red009	by3red010	by3red011	by3red012	by3red013	by3red014	by3red015	by3red016	by3red017	by3red018	by3red019	by3red020	by3red021	by3red022	by3red023	by3red024	by3red025	by3red026	by3red027	by3red028	by3red029	by3red030	by3red031	by3red032	by3red033	by3red034	by3red036	by3red037
32	1.2868	470																																																				1	1				1	1			1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1		0	0	1		1	0	1	0	0	0	0	0	0		0	0	1	0	0			0		0															0																																															1		1	1	1	1	1	1	0	1	0	0					0			0												1		1	1		1	1	0	1		0	0			1	0	0		0																																						1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0		0									0																																										1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0																												1	1	1	1	1	1	1	1	1	1	0	0	0	0	0																																							1	1	1	0	0	0	1	1	1	0	0	0	0	0	0																																																	1	1	1	1	1	1	0	0	0	0	0	0																									1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0								
33	2.3135	845																																																																												1							1		1	1	1		1		1	1	1		1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1		0	1	1	1	1	1	0	0	1	0	1	1	0																															1	1	1	1	1	1	1	0	0	0	1	0		0	0		0	0																				1			1	1			1	1		1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0																											1			1	1	1	1	0		1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0																																																						1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0																									1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0																												1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0																																																1	1	1	1	1	1	0	0	0	0	0																										1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0		
34	2.141	782																																																																												1							1		1	1	1		1		1	1	0		1	1	1	1	1			0	1	0	1	0	1	0	0		0	0	0	1		0	1	0	0	0	0	0	0								0	0																											1	1						1	1	0	1	1	0	1	1	0	0	0	0								1																		1	1		1		1	1	1		1	1	1		1	1	0	1	1		1	0					0		0																														1						1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0				0																																																										1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0																									1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0																																1	1	1	1	1	1	0	0	0	0	0																																																									1	1	1	0	0	1	1	1	1	0	0	0	0	0																							1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0
35	2.8802	1052																																																																																																													1	1	1	1	1	1	0	0	0	0	0																																																										1	1	1	1	0	1	1	0	1	1	0																																	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0																																				1	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0																																																																	1	1	1	1	1	1	0	1	0	0	0	0	0		0																											1	0	1	1	1	1	1	1	1	1	1																																						1	1	1	1	1	1	1	1	1	1	0																																																								0	1	1	0	0	1	1		1	1	0	0	0	0																							1	1	1	1	0	1	1	1	1	1	1	0
36	2.8282	1033																																																																																																1				1	1		1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																1	1			1		1	0		0	0		0																																1		1		1		1	1	1	1					1		0	0	0	0	0																																1	1		1	1	1	1	0	1	0				0		0		0																																																																							1	1	1	0	0	0	0	1	0	0	0	0	0																													1	1	1	1	1	0	0	1	1	0	0																															1	1	1	1	1	1	0	1	0	0	0	0	0																																																										1	1	1	0	1	1	1	1	0	0	0	0	0																											1	1	1	0	1	1	0	1	1	1	1	1
37	1.0157	371																																																				1	0				1	1			1		1	1	1	1	0	1	1	0	0	0	0	0	1		1	1	0	0	0	0	0	0				0		0	0			0								0																																																									1	1			1		1	1	0	0	0			0	1		0										0										1		0	1	0	0	0																																										1				1	1		1	0	1	1	1	0	0	0	1	0		1	0	1		0																																																									1	1	1	1	0	0	0	0	0																																													1	1	1	0	1	0	0	0	0	0																																								1	1	1	1	0	1	0	0	0	0	0																																											1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0																											1	1	1	0	1	0	1	1	1	0	0	0	0	0																	
38	0.4435	162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1		0	1	0	0	0	0	0	0			0																																																																												1	1	1	1	1	1	1	1	1	1	1	1	0	0			0						0																											1		1	1	1	1	1	0	0		0			0																																								1	1	1	1	1	1	0		0	0	0																																																								1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0																																														1	1	1	1	0	0	0	0	0																																				1	1	1	1	1	0	0	0	1	0	0	0	0	0	0																																			1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0																																				1	1	1	1	1	0	0	0	0	0																							
39	2.0917	764																																																																												1							1		1	1	1		1		0	1	1		1	0	0	1	0	1		0	1		0	0	1	1	0		0	1	1	0			0	0		0	0											0																																					1	1	1	1	1	0	1	0	0					0			0																		1	1	1	1		0	0	1	1	0	1				1		0	0		0																																						1						1	1	1	1	1	0	0	0	1	1		0		0		0		0																																										1	1	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0																																					1	1	1	0	1	0	0	0	0	0																																				1	1	1	1	1	0	0	1	0	0	0	0	0																																																										1	1	1	0	0	0	0	0																									1	1	1	0	0	0	1	0	0	0	0	0										
40	0.0739	27	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0		0					0						0																																																																																										1	1	0	0	0	0				0																																								0	1	1	0	1	0	0																																														1	0	0		0	0	0																																																1	1	1	1	0	0	1	0	0	0	0	0																																																																1	1	0	1	0	0	0	0	0																														0	1	1	1	0	0	0	0	0																																											1	0	0	0	0	0																																																												1	0	0	0	0	0																												
41	1.9302	705																																																														1		1		1						1		1		1			1	1	1		1	1	0	1	1		1	1	0	0	1	1	0		1	1	1	1			1	1	0	0	0	1	0		0	1	1	0		0	0	0	0	0	1	0		0							0	0																																		1		1	1	1	1	1	1	0	0	0	0					0			0													1	1	0	1	1	0	1	1	0	1	1		0	1	1	0		0		0																																											1				1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0																																																				1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0																												1	1	1	0	1	1	0	1	1	0	0	0	0	0																																			1	1	1	1	1	1	1	1	0	0	0	0	0																																																							1	1	1	0	0	0	1	1	1	0	0	0	0	0																			1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0						
42	0.8898	325																																																1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0																																																																											0	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0																			1	1	1	1	0	0	1	1	0	0	0	0																																					1	1	1	1	0	0	1	1	0	0	1	0	0	0	0																																																											1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0																																		1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0																																				1	0	0	1	0	0	1	1	1	0	0	0	0	0																																								1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0																				1	1	1	1	0	1	0	1	1	0	0	0	0	0																	
43	0.2601	95	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0			0	0																																																																																				1	1	1	1	1	1	0	1	1	1	1	1	0	0			0						0																											1	1	1	1	1	1	1	1	0	0	0	0		0																																							1	1	1	1	1	0	0	0		0	0	0																																											1	1	1	1	0	0	0	0	0																																																																			1	1	1	1	1	1	1	1	0	0	0	0	0																										1	1	1	1	1	0	0	0	1	0	0	0	0	0																																								1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0																																													1	1	1	1	1	1	0	0	0	0	0																							
44	1.7221	629																																																														1		1		0						0		1		1			0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0			0		1	0	0	0	0				0					0		0																																															1		1	1	0		0	1		0										0																	1	1	0	1		1	0			1	0	0		1																																									1			1	1				1	1	1	1	0	0	0	1	0		0	0								0																																																					1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0																															1	1	1	0	1	0	0	1	0	0	0	0	0																																				1	1	1	1	1	1	0	0	1	0	0	0	0	0	0																																																					1	1	1	0	0	0	0	0																										1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0							
45	0.3395	124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0			0	0	0			0																																																																																1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1			0	0		0																								1		1	1	1	1	1	1	0	0	0	0		0																																							1	1	1	1	1	0	0	0		0	0	0																																															1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0																																																			1	1	1	1	1	1	0	0	1	0	0	0	0	0																												1	1	1	0	1	1	1	1	1	0	0	0	0	0																																									1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0																																													1	1	1	1	1	0	0	0	0	1	0	0	0	0	0																		
46	2.8638	1046																																																																																																							1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0																																																								1	1	1	1	0	1	0	0	1	0	0	1	0	0																							1	1	1	1	0	1	1	0	0	0	0																																																								1	1	1	1	1	1	0	0	1	0	0	0	0						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
47	0.6489	237																															1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0																																																																																						1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0																							1	1	1	1	1	1	1	0	1	0	0	0	0																																						1	1	1	1	0	0	1	0	0	1	0	0	0	0																																																									1	1	1	1	1	1	0	0	0	0	0									1																																							1	1	1	1	0	1	1	1	1	1	0	0	0		0																																			1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0			0			0	0		0				0																						1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0																											1	1	1	1	0	0	0	0	0																						
48	1.7002	621																																																														1		1		1						1		1		1			1		0		1	1	0	1	1	1	1		0	0	1		1	1	0	1	1	0		0	0	0	1	0	1	1	0		0	0	0				0			0																																																	1	1	1	1	1	1	1	0	0		0			0			0																	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0		0	0					0																												1			1	1				1	1	1	0	0	1	0	1	1	0	0	0								0																																																1	1	1	1	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0																																	1	1	1	1	1	1	1	0	0	0	0	0																																		1	1	1	1	1	1	0	1	0	0	0	0	0																																																							1	1	1	1	1	1	1	1	1	0	0	0	0	0	0																			1	1	1	1	1	0	1	1	1	1	0	0	0	0	0									
49	1.399	511																																																				1	1				1	1			1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0			1		0	0	0	0	0				0							0																																									1						1	1	1	1	1	0	0	0	0	0	0	0								0									1	1		1	0	1	0	0	0					0								0																											1	0	1	1	1	0	0		0	0	0	0	0	0						0		0																																																														1	1	1	0	1	1	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0																				1	1	1	1	0	1	1	1	0	0	0	0	0																																								1	1	1	1	1	0	1	0	1	1	0	0	0	0	0																																																								1	1	1	1	1	1	0	0	0	0	0																							1	1	1	0	1	0	1	0	1	0	0	0	0	0													
50	0.4244	155	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0			0	0	0			0																																																																																1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0			0	0		0	0																							1		1	0	1	1	1	0	0		0			0																																							1	0	1	1	1	0	1	1	0	0	0	0	0	0																																													1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0																																																				1	1	1	1	1	0	1	0	0	0	0	0																												1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0																																					1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0																																								1	1	1	1	0	0	0	0	1	0	0	0	0	0																			
